Telefonica Czech Republic AS,06LR.L,LSE,United Kingdom
Standard Chartered PLC,37ZM.L,LSE,United Kingdom
Globaltrans Investment PLC,38KH.L,LSE,United Kingdom
Grupo Clarin SA,42KU.L,LSE,United Kingdom
Volkswagen AG,50IT.L,LSE,United Kingdom
AFI Development PLC,53GI.L,LSE,United Kingdom
OJSC LSR Group,54UD.L,LSE,United Kingdom
Eastpharma Ltd,63PE.L,LSE,United Kingdom
Eurasia Drilling Company Ltd,71FH.L,LSE,United Kingdom
MHP SA,71HT.L,LSE,United Kingdom
888 Holdings PLC,888.L,LSE,United Kingdom
X5 Retail Group NV,89VS.L,LSE,United Kingdom
Anglo American PLC,AAL.L,LSE,United Kingdom
Associated British Foods PLC,ABF.L,LSE,United Kingdom
African Barrick Gold PLC,ABG.L,LSE,United Kingdom
Ablon Group Ltd,ABL.L,LSE,United Kingdom
Acal PLC,ACL.L,LSE,United Kingdom
Admiral Group PLC,ADM.L,LSE,United Kingdom
Aberdeen Asset Management PLC,ADN.L,LSE,United Kingdom
Anglo-Eastern Plantations PLC,AEP.L,LSE,United Kingdom
Aer Lingus Group PLC,AERL.L,LSE,United Kingdom
Aminex PLC,AEX.L,LSE,United Kingdom
Afren PLC,AFR.L,LSE,United Kingdom
AFI Development PLC,AFRB.L,LSE,United Kingdom
AGA Rangemaster Group PLC,AGA.L,LSE,United Kingdom
Aggreko PLC,AGK.L,LSE,United Kingdom
Ashmore Global Opps,AGOL.L,LSE,United Kingdom
Ashmore Global Opps,AGOU.L,LSE,United Kingdom
Assura Group Ltd,AGR.L,LSE,United Kingdom
Aegis Group PLC,AGS.L,LSE,United Kingdom
LG Chem Ltd.,AH20.L,LSE,United Kingdom
Ashtead Group PLC,AHT.L,LSE,United Kingdom
Anite PLC,AIE.L,LSE,United Kingdom
Air Partner PLC,AIP.L,LSE,United Kingdom
Ark Therapeutics Group PLC,AKT.L,LSE,United Kingdom
Alumasc Group PLC,ALU.L,LSE,United Kingdom
Ashley (Laura) Holdings PLC,ALY.L,LSE,United Kingdom
AMEC PLC,AMEC.L,LSE,United Kingdom
Amlin PLC,AML.L,LSE,United Kingdom
Antofagasta PLC,ANTO.L,LSE,United Kingdom
Anglo Pacific Group PLC,APF.L,LSE,United Kingdom
Aquarius Platinum Ltd,AQP.L,LSE,United Kingdom
ARM Holdings PLC,ARM.L,LSE,United Kingdom
Assoc British Engineering,ASBE.L,LSE,United Kingdom
Ashmore Group PLC,ASHM.L,LSE,United Kingdom
Atia Group Ltd,ATIA.L,LSE,United Kingdom
Atkins (W S) PLC,ATK.L,LSE,United Kingdom
Alliance Trust PLC,ATST.L,LSE,United Kingdom
Aviva PLC,AV.L,LSE,United Kingdom
Avocet Mining PLC,AVM.L,LSE,United Kingdom
Avon Rubber PLC,AVON.L,LSE,United Kingdom
AVEVA Group PLC,AVV.L,LSE,United Kingdom
Axis Bank Ltd.,AXBA.L,LSE,United Kingdom
Axis Bank Ltd.,AXBC.L,LSE,United Kingdom
Accsys Technologies PLC,AXS.L,LSE,United Kingdom
Anglesey Mining PLC,AYM.L,LSE,United Kingdom
AstraZeneca PLC,AZN.L,LSE,United Kingdom
BAE Systems PLC,BA.L,LSE,United Kingdom
Babcock International Gr,BAB.L,LSE,United Kingdom
Beale PLC,BAE.L,LSE,United Kingdom
British & American IT,BAF.L,LSE,United Kingdom
Barr (A G) PLC,BAG.L,LSE,United Kingdom
Barclays PLC,BARC.L,LSE,United Kingdom
British American Tobacco PLC,BATS.L,LSE,United Kingdom
BBA Aviation PLC,BBA.L,LSE,United Kingdom
Balfour Beatty PLC,BBY.L,LSE,United Kingdom
Samsung Electronics Co Ltd,BC94.L,LSE,United Kingdom
Barratt Developments PLC,BDEV.L,LSE,United Kingdom
Beazley PLC,BEZ.L,LSE,United Kingdom
Basf SE,BFA.L,LSE,United Kingdom
BG Group PLC,BG.L,LSE,United Kingdom
BTG PLC,BGC.L,LSE,United Kingdom
Boot (Henry) PLC,BHY.L,LSE,United Kingdom
