Date,Open,High,Low,Close,Volume,Adj Close
2013-04-15,1150.00,1204.48,1127.40,1197.00,187500,1197.00
2013-04-08,1036.00,1155.03,1036.00,1144.00,114800,1144.00
2013-04-01,1001.00,1070.00,980.00,1065.00,66400,1065.00
2013-03-25,980.00,1030.28,978.00,1001.00,210200,1001.00
2013-03-18,984.50,1008.00,960.00,971.00,89600,971.00
2013-03-11,975.00,1035.00,952.24,997.00,113500,997.00
2013-03-04,990.50,1009.00,898.50,1000.00,36400,1000.00
2013-02-25,1009.00,1019.00,974.78,984.50,60100,984.50
2013-02-18,990.00,1017.70,980.50,997.00,115500,997.00
2013-02-11,983.50,1008.00,962.00,996.00,75100,996.00
2013-02-04,966.00,990.00,953.50,980.50,68800,980.50
2013-01-28,950.00,989.00,944.00,965.00,77800,965.00
2013-01-21,975.50,975.50,927.85,942.00,45200,942.00
2013-01-14,924.00,991.50,912.00,980.50,57800,980.50
2013-01-07,890.50,925.00,865.50,920.00,67100,920.00
2012-12-31,905.00,939.50,890.50,900.00,24500,900.00
2012-12-24,900.00,914.00,898.50,904.00,11000,904.00
2012-12-17,894.00,915.00,866.50,894.50,87500,894.50
2012-12-10,891.50,910.50,874.46,894.00,45500,894.00
2012-12-03,857.50,888.50,855.50,887.00,28000,887.00
2012-11-26,899.50,899.50,867.50,875.00,87300,875.00
2012-11-19,852.50,898.85,852.50,891.50,56600,878.55
2012-11-12,830.00,868.00,829.76,855.00,32100,839.65
2012-11-05,851.50,858.50,820.50,841.50,45700,826.39
2012-10-29,850.00,874.50,840.00,849.00,56300,833.76
2012-10-22,863.00,870.87,835.50,862.00,30900,846.53
2012-10-15,878.00,892.50,846.00,861.50,39800,846.04
2012-10-08,892.00,895.13,863.00,882.50,25700,866.66
2012-10-01,848.50,906.48,821.00,892.00,203600,875.99
2012-09-24,859.00,863.39,835.00,846.50,28100,831.30
2012-09-17,853.00,870.63,837.50,860.00,64600,844.56
2012-09-10,836.00,873.00,819.90,868.00,33600,852.42
2012-09-03,835.00,846.02,819.32,835.00,26100,820.01
2012-08-27,816.00,834.00,795.73,834.00,43200,819.03
2012-08-20,827.50,840.00,808.50,816.00,50100,801.35
2012-08-13,849.00,849.00,818.55,828.00,31700,813.14
2012-08-06,838.00,862.00,822.00,841.00,31900,825.90
2012-07-30,786.00,841.00,779.50,840.00,38400,824.92
2012-07-23,830.00,840.00,771.50,790.00,73700,775.82
2012-07-16,876.00,889.50,830.00,830.00,183300,815.10
2012-07-09,857.00,894.06,852.04,884.00,65500,851.17
2012-07-02,853.50,867.90,832.72,860.50,52100,828.54
2012-06-25,827.00,857.45,817.40,852.00,65600,820.36
2012-06-18,819.00,863.00,811.00,827.50,108100,796.77
2012-06-11,775.50,848.50,765.50,816.00,141300,785.69
2012-06-04,735.00,781.50,729.56,770.00,49900,741.40
2012-05-28,720.00,764.50,686.73,735.00,105600,707.70
2012-05-21,696.00,718.00,686.00,710.00,89900,683.63
2012-05-14,694.50,708.00,688.50,700.00,51200,674.00
2012-05-07,697.00,708.50,659.00,703.00,68400,676.89
2012-04-30,690.50,707.88,673.30,697.00,46400,671.11
2012-04-23,689.00,698.71,671.00,695.00,52700,669.19
2012-04-16,685.50,699.50,666.99,692.00,61800,666.30
2012-04-09,692.00,696.50,661.00,683.50,91600,658.11
2012-04-02,698.50,714.50,681.97,692.00,53300,666.30
2012-03-26,690.00,703.63,675.50,692.00,82700,666.30
2012-03-19,675.50,687.00,650.00,687.00,57600,661.48
2012-03-12,635.00,690.00,623.94,685.00,78000,659.56
2012-03-05,634.00,644.93,608.35,629.50,99000,606.12
2012-02-27,635.50,648.67,602.09,628.00,72700,604.68
2012-02-20,640.00,654.06,629.50,633.00,55500,609.49
2012-02-13,660.00,664.78,635.00,640.00,181400,616.23
2012-02-06,673.50,678.02,626.70,629.50,178100,606.12
2012-01-30,680.00,699.50,663.00,675.50,62000,650.41
2012-01-23,692.50,696.03,641.95,682.50,153600,657.15
2012-01-16,731.50,732.76,679.50,685.00,69200,659.56
2012-01-09,712.00,745.00,708.22,729.50,61500,702.41
2012-01-02,773.00,776.53,700.00,706.00,65400,679.78
2011-12-26,760.50,776.88,751.00,773.00,19700,744.29
2011-12-19,775.00,783.70,721.50,760.50,42900,732.25
2011-12-12,771.50,789.00,760.00,772.50,45400,743.81
2011-12-05,780.00,790.00,746.09,780.00,51100,751.03
2011-11-28,741.00,804.34,730.00,770.00,57200,741.40
2011-11-21,722.00,751.53,710.00,741.50,96000,704.52
2011-11-14,730.00,735.80,710.41,720.50,45500,684.56
2011-11-07,735.00,750.00,710.00,714.00,44900,678.39
2011-10-31,760.00,760.00,715.00,740.00,32600,703.09
2011-10-24,726.50,763.50,713.74,748.00,54400,710.69
2011-10-17,720.00,740.00,710.00,720.00,24200,684.09
2011-10-10,723.50,732.50,707.50,728.50,36500,692.16
2011-10-03,708.00,732.50,701.00,717.00,50400,681.24
2011-09-26,692.50,721.00,687.46,721.00,37100,685.04
2011-09-19,697.00,705.00,668.00,691.50,47000,657.01
2011-09-12,667.00,702.15,667.00,695.00,65900,660.34
2011-09-05,700.50,704.50,667.00,677.50,137400,643.71
2011-08-30,664.00,698.00,659.00,693.50,95700,658.91
2011-08-22,648.00,679.00,627.50,660.00,78600,627.08
2011-08-15,630.50,678.00,606.60,640.00,64900,608.08
2011-08-08,598.50,637.00,341.72,625.00,134900,593.83
2011-08-01,684.50,689.00,555.00,604.50,132900,574.35
2011-07-25,660.00,690.00,635.50,690.00,36300,655.59
2011-07-18,683.50,683.50,640.00,671.00,55200,637.53
2011-07-11,660.50,699.00,660.00,678.00,129000,644.18
2011-07-04,674.50,693.00,658.00,688.00,95800,640.59
2011-06-27,651.50,696.00,639.00,689.50,44500,641.99
2011-06-20,654.00,705.30,604.35,648.00,709800,603.35
2011-06-13,594.88,658.00,594.78,658.00,119100,612.66
2011-06-06,575.00,603.18,565.00,598.00,64300,556.79
2011-05-31,524.00,578.00,515.78,575.00,270700,535.38
2011-05-23,479.00,532.00,472.25,532.00,78700,495.34
2011-05-16,477.00,487.50,470.84,476.00,17700,443.20
2011-05-09,479.50,488.00,470.00,472.00,12100,439.48
2011-05-03,488.00,488.00,470.00,488.00,61600,454.37
2011-04-26,487.00,488.00,470.25,488.00,14700,454.37
2011-04-18,488.00,488.00,470.00,487.00,82200,453.44
2011-04-11,479.75,483.00,467.84,483.00,16000,449.72
2011-04-04,457.62,479.75,461.00,473.50,156800,440.87
2011-03-28,450.25,468.77,450.25,455.00,30000,423.65
2011-03-21,465.00,470.00,450.00,452.50,20200,421.32
2011-03-14,473.00,480.00,425.00,452.00,161500,420.85
2011-03-07,467.25,477.00,457.00,473.00,33700,440.41
2011-02-28,469.75,480.00,458.00,480.00,22700,446.92
2011-02-21,465.00,484.75,455.25,458.00,15300,426.44
