Date,Open,High,Low,Close,Volume,Adj Close
2013-01-28,171.10,174.30,170.57,172.10,89321400,172.10
2013-01-21,162.60,170.67,160.15,170.25,93161100,170.25
2013-01-14,166.00,172.40,159.05,161.85,101785900,161.85
2013-01-07,159.65,165.81,158.60,165.20,98746300,165.20
2012-12-31,155.05,162.37,154.20,160.05,53832500,160.05
2012-12-24,155.80,157.09,154.95,155.40,27008500,155.40
2012-12-17,157.35,159.57,154.35,155.60,123822700,155.60
2012-12-10,161.90,163.40,160.65,160.95,79243100,160.95
2012-12-03,161.80,162.92,158.48,161.85,77401800,161.85
2012-11-26,158.75,162.15,155.05,161.15,90585900,161.15
2012-11-19,158.65,163.18,157.10,158.70,83960300,158.70
2012-11-12,167.35,169.10,155.73,157.80,154785800,154.62
2012-11-05,168.00,171.01,165.64,167.60,80473700,164.22
2012-10-29,169.60,173.05,167.28,168.20,74919400,164.81
2012-10-22,177.45,178.37,168.45,169.70,113639800,166.28
2012-10-15,174.55,178.25,172.50,177.50,92740000,173.92
2012-10-08,179.70,181.63,174.50,174.80,58454000,171.28
2012-10-01,175.95,181.60,175.05,180.65,69703800,177.01
2012-09-24,177.80,179.75,175.45,175.75,80808900,172.21
2012-09-17,174.00,178.54,173.05,178.45,98839400,174.85
2012-09-10,176.35,179.50,172.70,175.85,105320800,172.31
2012-09-03,181.65,183.36,174.57,177.10,104125500,173.53
2012-08-27,184.75,186.60,181.40,181.50,56213400,177.84
2012-08-20,186.20,187.50,182.75,184.75,45689800,181.03
2012-08-13,190.40,191.94,184.10,185.95,65484100,182.20
2012-08-06,190.00,191.70,188.25,190.45,86627400,186.61
2012-07-30,181.80,190.65,180.75,190.15,88795100,186.32
2012-07-23,179.40,182.19,176.70,181.40,70227100,177.75
2012-07-16,182.85,187.00,177.33,180.00,110545400,176.37
2012-07-09,181.55,184.94,180.15,182.85,72256900,179.17
2012-07-02,179.50,183.12,168.45,180.85,66513000,177.21
2012-06-25,176.75,181.90,175.99,179.25,75292000,175.64
2012-06-18,173.85,178.94,172.85,177.60,79322300,174.02
2012-06-11,172.55,176.65,170.05,173.70,107407700,170.20
2012-06-04,173.65,173.65,166.85,171.50,72990800,168.04
2012-05-28,173.60,174.81,165.83,173.65,72391800,163.81
2012-05-21,165.00,173.40,164.21,173.10,99722300,163.29
2012-05-14,171.25,172.25,164.12,164.30,81568600,154.99
2012-05-07,171.80,175.67,169.75,172.00,70186800,162.26
2012-04-30,171.50,174.36,169.10,171.80,62153700,162.07
2012-04-23,170.80,173.27,170.05,171.10,63069200,161.41
2012-04-16,169.35,175.18,169.05,171.50,80116000,161.78
2012-04-09,171.95,172.18,167.95,169.45,76328600,159.85
2012-04-02,173.85,176.82,170.10,171.95,71560100,162.21
2012-03-26,173.20,175.75,171.35,172.20,75527100,162.44
2012-03-19,166.50,175.55,166.22,173.60,131337000,163.76
2012-03-12,168.20,172.07,165.20,166.35,137174000,156.93
2012-03-05,170.00,171.65,168.60,168.65,81475100,159.09
2012-02-27,171.50,173.93,169.05,170.60,106271900,160.93
2012-02-20,175.00,176.58,171.65,171.75,79044300,162.02
2012-02-13,173.30,175.25,172.05,174.60,67596300,164.71
2012-02-06,175.10,179.00,170.70,172.65,86380800,162.87
2012-01-30,171.65,175.35,170.05,175.10,106587500,165.18
2012-01-23,177.40,179.73,172.00,172.25,96149300,162.49
2012-01-16,174.70,178.90,172.50,177.05,110391700,167.02
2012-01-09,180.20,182.00,170.70,175.00,98679300,165.09
2012-01-02,178.90,182.90,174.34,179.50,68976400,169.33
2011-12-26,176.30,179.85,174.47,178.90,31564400,168.76
2011-12-19,173.75,176.53,172.05,176.30,49960200,166.31
2011-12-12,174.05,178.05,173.15,174.50,97348100,164.61
2011-12-05,173.40,175.85,170.50,174.15,72673300,164.28
2011-11-28,167.25,175.76,166.25,172.10,93897900,162.35
2011-11-21,170.00,170.42,164.55,166.35,67065800,156.93
2011-11-14,180.45,183.44,170.80,170.80,107598300,161.12
2011-11-07,173.55,182.35,170.00,180.05,87650400,166.98
2011-10-31,173.50,177.27,169.20,172.95,109711800,160.40
2011-10-24,176.40,179.11,160.00,174.30,82847500,161.65
2011-10-17,174.50,177.30,170.95,175.55,68009700,162.81
2011-10-10,170.35,174.85,169.65,173.75,58691000,161.14
2011-10-03,164.00,172.95,155.99,169.75,110585900,157.43
2011-09-26,158.90,169.12,158.90,166.25,78905600,154.18
2011-09-19,162.55,165.40,157.85,161.60,94367000,149.87
2011-09-12,157.80,165.40,157.10,163.90,96760900,152.00
2011-09-05,159.00,164.98,157.40,162.00,77301000,150.24
2011-08-30,162.55,165.65,159.90,162.40,102205400,150.61
2011-08-22,158.55,169.40,157.65,161.90,80949700,150.15
2011-08-15,167.60,169.30,156.80,159.95,92101300,148.34
2011-08-08,164.05,166.50,153.95,166.25,196075300,154.18
2011-08-01,174.55,174.55,162.50,165.60,163320500,153.58
2011-07-25,164.75,174.87,161.35,172.00,115948300,159.51
2011-07-18,158.75,165.00,157.25,164.55,100626800,152.61
2011-07-11,165.40,166.30,158.75,159.00,102834800,147.46
2011-07-04,165.00,168.00,164.00,165.30,82771300,153.30
2011-06-27,162.30,166.90,161.65,164.10,156883800,152.19
2011-06-20,159.50,165.05,159.40,163.10,93906200,151.26
2011-06-13,158.95,162.80,158.01,159.65,131819300,148.06
2011-06-06,163.40,164.54,158.05,158.90,83411100,147.37
2011-05-31,169.30,170.85,160.20,163.90,132159300,152.00
2011-05-23,172.20,173.65,166.65,169.40,106905800,151.48
2011-05-16,167.00,174.95,166.55,173.90,116996100,155.50
2011-05-09,168.20,171.41,166.10,167.55,105506400,149.82
2011-05-03,174.10,174.10,165.65,167.60,114778100,149.87
2011-04-26,170.70,174.65,169.50,171.60,85820300,153.45
2011-04-18,178.85,179.30,168.85,169.05,112382100,151.16
2011-04-11,175.25,178.62,174.85,178.25,61978900,159.39
2011-04-04,182.50,182.85,175.35,177.40,80433800,158.63
2011-03-28,175.70,181.90,175.70,179.10,84825500,160.15
2011-03-21,176.00,178.95,170.00,176.55,103134300,157.87
2011-03-14,177.85,178.45,167.10,169.95,144369600,151.97
2011-03-07,177.50,185.00,177.00,178.90,103206300,159.97
2011-02-28,173.65,182.25,170.00,178.90,103530000,159.97
2011-02-21,180.80,182.97,172.00,174.79,71534500,156.30
2011-02-14,181.10,250.00,175.00,181.70,51805300,162.48
2011-02-07,179.35,180.90,176.60,180.00,79455900,160.96
2011-01-31,177.00,179.95,174.60,179.50,92615400,160.51
2011-01-24,175.20,184.75,175.10,178.15,92462300,159.30
